Variable Name/Key,🟡 DC English Current,⚪ SOURCE English,🟡 DC Español Current,⚪ SOURCE Español,🟡 DC Amharic Current,Notes
S1 - Landing Page - Title,Get a one-time payment of $120 in summer food benefits for your student,Get a one-time payment of $120 in summer food benefits for your child,Recibe un pago único de $120 en beneficios de alimentos durante el verano para tu estudiante.,Recibe un pago único de $120 en beneficios de alimentos de verano para tu niño/a.,ለተማሪዎ የበጋ የምግብ ጥቅማጥቅሞች የ$120 የአንድ ጊዜ ክፍያ ያግኙ,
S1 - Landing Page - Body,"Each eligible student can receive a *one-time payment of $120*. Families may use the benefit to pay for groceries during the summer months. 

Most eligible families are automatically enrolled, and some need to submit an application. We can recommend whether you should apply for your student. Tap ""Do I need to apply?"" and enter their information.","Each eligible child can receive a *one-time payment of $120*. Families may use the money to pay for groceries during the summer months. 

Most eligible families are automatically enrolled, and some need to submit an application. We can recommend whether you should apply for your child. Tap ""Do I need to apply?"" and enter your child's information.","Cada estudiante elegible puede recibir un *pago único de $120*. Este dinero se puede usar para comprar alimentos durante los meses de verano. 

Algunas familias elegibles son inscritas automátocamente y otras tienen que aplicar. Podemos recomendarte si necesitas aplicar. Toqua “¿Necesito aplicar?” e ingresa la información de tu estudiante.  ","Cada estudiante que califica puede recibir un *pago único de $120*. Este dinero se puede usar para comprar alimentos durante los meses de verano. 

Algunas familias elegibles son inscritas automátocamente y otras tienen que aplicar. Podemos recomendarte si deberías aplicar para tu niño/a. Toca “¿Necesito aplicar?” e ingresa la información de tu niño/a.","እያንዳንዱ ብቁ ተማሪ *የ$120 የአንድ ጊዜ ክፍያ* ማግኘት ይችላል። ቤተሰቦች በበጋ ወራት የግሮሰሪ ክፍያ ለመክፈል ጥቅሙን ሊጠቀሙበት ይችላሉ።

አብዛኛዎቹ ብቁ ቤተሰቦች በራስ-ሰር ይመዘገባሉ፣ እና አንዳንዶቹ ማመልከቻ ማስገባት አለባቸው። ለተማሪዎ ማመልከት እንዳለብዎት ልንመክርዎ እንችላለን። ""ማመልከት አለብኝ?"" የሚለውን ጠቅ ያድርጉ እና መረጃቸውን ያስገቡ።",
S1 - Landing Page - Action,Do I need to apply?,Do I need to apply?,¿Necesito aplicar?,¿Necesito aplicar?,ማመልከት አለብኝ,
S1 - Landing Page - Action Español,¿Necesito aplicar?,¿Necesito aplicar?,Do I need to apply?,Do I need to apply?,¿Necesito aplicar?,
S1 - Landing Page - Action Amharic,ማመልከት አለብኝ,ማመልከት አለብኝ,ማመልከት አለብኝ,ማመልከት አለብኝ,Do I need to apply?,
S1 - Landing Page - Action Subtext,!N/A!,Safe and secure,!N/A!,Seguro y protegido,!N/A!,
S1 - Landing Page - Accordion Title,!N/A!,How do I know if my child can get Summer EBT?,!N/A!,¿Cómo sé si mi niño/a califica para recibir Summer EBT?,!N/A!,
S1 - Landing Page - Body 2,Most students ages 5–18 will **be automatically enrolled** if any of these are true:,Children may be automatically enrolled if we have information to confirm their eligibility. This usually happens for one of the following reasons:,La mayoría de los estudiantes de 5 a 18 años **se inscribirán automáticamente** si se cumple alguna de estas condiciones:,Es posible que inscribamos automáticamente a tus niños si contamos con información para confirmar su elegibilidad. Esto puede suceder por alguno de los siguientes motivos:,ከ5-18 ዓመት ዕድሜ ያላቸው አብዛኛዎቹ ተማሪዎች **ከእነዚህ ውስጥ አንዳቸውም እውነት ከሆኑ** በራስ-ሰር ይመዘገባሉ፦,
S1 - Landing Page - Body 3,"They get SNAP or TANF benefits,
They are approved for free or reduced-price school meals,
Are in foster care or experiencing homelessness","They are between ages 6 and 17. And they get SNAP (food stamps), Colorado Works (TANF), Medicaid, or the Food Distribution Program on Indian Reservations (FDPIR)
Or they are temporarily unhoused or in foster care
Or they get free or low-cost meals at school, and they are enrolled in a school that participates in the National School Lunch Program (NSLP)","Reciben beneficios de SNAP o TANF,

tienen aprobación para comidas escolares gratuitas o a precio reducido,

están en un hogar de acogida o son personas sin hogar.","Tienen entre 6 y 17 años y reciben SNAP (cupones de alimentos), Colorado Works (TANF), Medicaid o el Programa de Distribución de Alimentos en Reservas Indígenas (FDPIR)
O, están temporalmente sin hogar o en hogar de acogida (foster care)
O, reciben comidas gratuitas o a bajo costo en la escuela
O, están inscritos/as en una escuela que participa en el Programa Nacional de Almuerzos Escolares (NSLP)","የSNAP ወይም የTANF ጥቅማ ጥቅሞችን ያገኛሉ፣
ለነፃ ወይም ለዝቅተኛ ዋጋ የትምህርት ቤት ምግቦች የተፈቀደላቸው ናቸው፣
በማደጎ እንክብካቤ ውስጥ ወይም ቤት አልባ ናቸው",
S1 - Landing Page - Body 4,"Families of automatically enrolled students will get a notice by mail or email.

You will need to **submit an application** if your student does **not meet the criteria above, and**","But, children who are not automatically enrolled may still be able to get the benefit. Parents or guardians should fill out an application to see if they qualify. Tap [""Apply now""](link) to see if you need to apply for your child.","Las familias de los estudiantes inscritos automáticamente recibirán un aviso por correo postal o correo electrónico.

**Necesitarás aplicar** si tu estudiante *no* cumple con los criterios anteriores y**","Sin embargo, si tus niños no quedan inscritos/as automáticamente, aún podrían recibir el beneficio. Llena una solicitud para ver si califican. Toca [""Aplica ahora""] (link) para saber si necesitas aplicar.","በራስ-ሰር የተመዘገቡ ተማሪዎች ቤተሰቦች በፖስታ ወይም በኢሜል ማሳወቂያ ይደርሳቸዋል።

ተማሪዎ **ከላይ ያሉትን መስፈርቶች የማያሟላ ከሆነ **ማመልከቻ ማስገባት** ይኖርብዎታል፣ እና**",
S1 - Landing Page - Body 5,"They attended a school that offers the National School Breakfast or Lunch Program (NSLP) during the 2025-2026 school year, **and**
Everyone in their household combined earns less than 185% of the federal poverty guideline.",,"Asistieron a una escuela que ofrece el Programa Nacional de Desayunos o Almuerzos Escolares (NSLP) durante el año escolar 2025–2026, **y**

todas las personas de su hogar, sumadas, ganan menos del 185% de las pautas federales de pobreza.",,"በ2025-2026 የትምህርት ዘመን ብሔራዊ የትምህርት ቤት ቁርስ ወይም ምሳ ፕሮግራም (NSLP) የሚያቀርብ ትምህርት ቤት ተምረዋል፣ **እና**
በቤተሰባቸው ውስጥ ያለ እያንዳንዱ ሰው በአጠቃላይ ከፌዴራል የድህነት መመሪያ 185% ያነሰ ገቢ ያገኛል።",
S1 - Landing Page - Body 6,"Tap ""Do I need to apply?"" to see if you should apply for your student.",,Toca “¿Necesito aplicar?” para ver si deberías aplicar para tu estudiante.,,"ለተማሪዎ ማመልከት እንዳለብዎት ለማየት ""ማመልከት አለብኝ?"" የሚለውን ይጫኑ።",
S1 - Disclaimer - Title,What to know before we begin,What to know before we begin,Lo que debes saber antes de comenzar,Lo que debes saber antes de comenzar,ከመጀመራችን በፊት ማወቅ ያለብን ነገር,
S1 - Disclaimer - Body 1,This is not an application for DC SUN Bucks.,This is not an application for Summer EBT.,Esto NO es una aplicación para DC SUN Bucks,Esto NO es una aplicación para Summer EBT,ይህ ለ DC SUN Bucks የቀረበ ማመልከቻ አይደለም።,
S1 - Disclaimer - Body 2,This tool will help you learn if you need to apply to DC SUN Bucks for your students.,This tool will help you learn if your children are potentially eligible for Summer EBT and if you should apply.,Esta herramienta te ayudará a saber si necesitas aplicar a DC SUN Bucks para tus estudiantes.,Esta herramienta te ayudará a saber si tus niños podrían calificar para Summer EBT y si debes aplicar.,ይህ መሳሪያ ለተማሪዎችዎ በDC SUN Bucks ማመልከት ከፈለጉ ለማወቅ ይረዳዎታል።,
S1 - Disclaimer - Body 3,The information you provide will be kept private and secure.,The information you provide will be kept private and secure.,La información que nos proporciones se mantendrá privada y segura.,La información que nos proporciones se mantendrá privada y segura.,የሚሰጡት መረጃ ሚስጥራዊ እና ደህንነቱ የተጠበቀ ይሆናል።,
S1 - Disclaimer - Body 4,Using this tool will not affect your potential DC SUN Bucks benefits or other benefits you get.,Using this tool will not affect your potential Summer EBT benefits or other benefits you get.,Usar esta herramienta no afectará tus posibles beneficios de DC SUN Bucks ni otros beneficios que recibes.,Usar esta herramienta no afectará tus posibles beneficios de Summer EBT ni otros beneficios que recibes.,ይህንን መሳሪያ መጠቀም የDC SUN Bucks ጥቅማ ጥቅሞችዎን ወይም የሚያገኟቸውን ሌሎች ጥቅማ ጥቅሞች ላይ ተጽዕኖ አያሳድርም።,
S1 - Personal Information - Title,Check if your student needs to apply for DC SUN Bucks,Check if your child needs to apply for Summer EBT,Comprueba si tu estudiante necesita aplicar para recibir los beneficios de DC SUN Bucks,Comprueba si tu niño/a necesita aplicar para recibir los beneficios de Summer EBT,ተማሪዎ ለDC SUN Bucks ማመልከት ይኖርበት እንደሆነ ያረጋግጡ።,
S1 - Personal Information - Body,Please provide your student's information in the required fields below. This tool will check if they're automatically enrolled to receive benefits.,Please provide your child's information in the required fields below. This tool will check if your child is automatically enrolled to receive benefits.,Proporciona la información de tu estudiante en los campos obligatorios a continuación. Esta herramienta comprobará si tu estudiante queda inscrito de forma automática para recibir beneficios.,Proporciona la información de tu estudiante en los campos obligatorios. Esta herramienta comprobará si tu niño/a queda inscrito de forma automática para recibir los beneficios.,እባክዎን የተማሪዎን መረጃ ከታች ባሉት አስፈላጊ መስኮች ያቅርቡ። ይህ መሳሪያ ጥቅማ ጥቅሞችን ለመቀበል በራስ-ሰር የተመዘገቡ መሆናቸውን ያረጋግጣል።,
S1 - Personal Information - Label Birthdate,Birthdate,Birthdate,Fecha de nacimiento,Fecha de nacimiento,የትውልድ ቀን,
S1 - Personal Information - Label Month,Month,Month,Mes,Mes,ወር,
S1 - Personal Information - Label Day,Day,Day,Día,Día,ቀን,
S1 - Personal Information - Label Year,Year,Year,Año,Año,አመት,
S1 - Confirm Personal Information - Title,Here's the information we have so far,Here's the information we have so far,Aquí está la información que tenemos hasta ahora,Aquí está la información que tenemos hasta ahora,እስካሁን ያገኘነው መረጃ ይኸውና,
